"path","top","ext","bytes","lines","readable","note"
".env.example",".env.example",".example","129","6","True",""
".github/copilot-instructions.md",".github",".md","6825","109","True",""
".gitignore",".gitignore",".gitignore","301","25","True",""
"DOCS/AI_CHAT/2026-01-14_ML_Model_Integration.md","DOCS",".md","6441","140","True",""
"DOCS/AI_CHAT/2026-01-XX_API_Key_Security.md","DOCS",".md","2479","48","True",""
"DOCS/AI_CHAT/2026-01-XX_Credits_Roles_Audit.md","DOCS",".md","6012","95","True",""
"DOCS/AI_CHAT/2026-01-XX_Registration_Error_Fix.md","DOCS",".md","1723","29","True",""
"DOCS/API/API_INDEX.md","DOCS",".md","9632","224","True",""
"DOCS/API/API_STATUS_SUMMARY.md","DOCS",".md","4173","84","True",""
"DOCS/API/API_TESTING_CHECKLIST.md","DOCS",".md","9136","225","True",""
"DOCS/API/API_TESTING_GUIDE.md","DOCS",".md","28981","828","True",""
"DOCS/API/API_VERIFICATION_COMPLETE.md","DOCS",".md","11919","289","True",""
"DOCS/API/API_VERIFICATION_GUIDE.md","DOCS",".md","8599","206","True",""
"DOCS/FIXES/CROP_DISEASE_FIX.md","DOCS",".md","4021","97","True",""
"DOCS/FIXES/DASHBOARD_FIXES.md","DOCS",".md","3829","88","True",""
"DOCS/FIXES/REGISTRATION_FIX.md","DOCS",".md","2019","36","True",""
"DOCS/FIXES/SERVICE_WORKER_FIX.md","DOCS",".md","4527","109","True",""
"DOCS/GUIDES/API_KEY_SECURITY.md","DOCS",".md","5086","109","True",""
"DOCS/GUIDES/DEPLOYMENT.md","DOCS",".md","5506","159","True",""
"DOCS/GUIDES/GROQ_VISION_IMPLEMENTATION.md","DOCS",".md","17147","437","True",""
"DOCS/GUIDES/LOGGING_SUMMARY.md","DOCS",".md","7690","193","True",""
"DOCS/GUIDES/MESSAGE REBUILD GUIDE.md","DOCS",".md","8530","195","True",""
"DOCS/GUIDES/MESSAGING_REBUILD_GUIDE.md","DOCS",".md","8530","195","True",""
"DOCS/GUIDES/VERIFICATION.md","DOCS",".md","10058","271","True",""
"DOCS/GUIDES/VERIFIED_ROUTES_QUICK_REF.txt","DOCS",".txt","10826","134","True",""
